差,,一般,,好,,很好,,非常好,
0.273,0.408,0.508,0.59,0.436,0.506,0.592,0.672,0.62,0.72
0.565,0.649,0.306,0.403,0.649,0.73,0.746,0.803,0.674,0.773
0.29,0.428,0.44,0.524,0.532,0.701,0.459,0.547,0.598,0.691
0.253,0.335,0.365,0.47,0.561,0.67,0.423,0.482,0.768,0.841
0.4,0.471,0.51,0.606,0.517,0.714,0.618,0.689,0.622,0.721
0.333,0.421,0.417,0.516,0.519,0.656,0.554,0.667,0.804,0.9
0.24,0.399,0.301,0.426,0.539,0.624,0.532,0.684,0.287,0.365
0.264,0.49,0.301,0.426,0.583,0.681,0.567,0.657,0.669,0.76
0.235,0.309,0.225,0.34,0.497,0.612,0.792,0.865,0.774,0.838
0.161,0.305,0.361,0.421,0.771,0.9,0.837,0.964,0.866,0.949
0.242,0.339,0.562,0.633,0.39,0.569,0.334,0.538,0.615,0.701
0.185,0.245,0.533,0.629,0.617,0.761,0.529,0.608,0.551,0.636
0.302,0.519,0.275,0.376,0.537,0.61,0.716,0.809,0.483,0.576
0.379,0.594,0.502,0.585,0.573,0.697,0.47,0.61,0.467,0.599
0.323,0.392,0.408,0.495,0.79,0.881,0.617,0.692,0.571,0.66
0.024,0.099,0.641,0.738,0.505,0.581,0.344,0.48,0.726,0.804
0.127,0.252,0.607,0.698,0.793,0.888,0.686,0.88,0.962,0.988
0.367,0.442,0.349,0.468,0.529,0.6,0.545,0.624,0.612,0.712
0.049,0.104,0.418,0.526,0.507,0.62,0.707,0.782,0.704,0.85
0.144,0.233,0.435,0.509,0.252,0.388,0.601,0.701,0.791,0.877
0.333,0.546,0.198,0.342,0.644,0.731,0.811,0.885,0.486,0.559
0.146,0.286,0.577,0.689,0.464,0.588,0.658,0.762,0.722,0.821
0.253,0.388,0.49,0.618,0.587,0.699,0.678,0.757,0.739,0.82
0.315,0.496,0.25,0.456,0.884,0.954,0.497,0.67,0.396,0.534
0.146,0.258,0.452,0.567,0.608,0.694,0.633,0.736,0.711,0.784
0.202,0.35,0.712,0.821,0.57,0.655,0.587,0.677,0.341,0.43
0.226,0.425,0.27,0.394,0.489,0.592,0.474,0.809,0.648,0.735
0.299,0.433,0.612,0.687,0.388,0.623,0.475,0.555,0.534,0.604
0.084,0.24,0.213,0.329,0.495,0.59,0.798,0.858,0.71,0.78
0.182,0.323,0.521,0.636,0.536,0.643,0.685,0.782,0.78,0.852
0.18,0.293,0.519,0.6,0.222,0.354,0.483,0.612,0.799,0.859
0.005,0.032,0.259,0.34,0.53,0.613,0.306,0.404,0.71,0.774
0.173,0.239,0.463,0.524,0.342,0.456,0.708,0.792,0.69,0.782
0.256,0.34,0.54,0.642,0.684,0.786,0.914,0.958,0.739,0.833
0.455,0.563,0.345,0.441,0.813,0.875,0.655,0.758,0.835,0.909
0.202,0.315,0.557,0.695,0.72,0.865,0.671,0.749,0.879,0.958
0.069,0.173,0.497,0.611,0.641,0.725,0.58,0.677,0.958,0.981
0.117,0.21,0.613,0.701,0.606,0.714,0.287,0.575,0.656,0.736
0.422,0.524,0.291,0.375,0.69,0.803,0.676,0.77,0.849,0.93
0.276,0.481,0.591,0.684,0.281,0.483,0.089,0.22,0.644,0.736
0.27,0.41,0.318,0.48,0.358,0.471,0.629,0.724,0.826,0.917
0.052,0.138,0.859,0.944,0.441,0.528,0.557,0.644,0.729,0.792
0.228,0.336,0.392,0.473,0.663,0.752,0.602,0.685,0.445,0.59
0.247,0.43,0.379,0.446,0.514,0.594,0.416,0.514,0.675,0.825
0.394,0.549,0.37,0.439,0.368,0.477,0.528,0.623,0.598,0.687
0.313,0.404,0.522,0.618,0.721,0.834,0.668,0.763,0.783,0.893
0.482,0.692,0.63,0.832,0.724,0.797,0.43,0.529,0.696,0.781
0.023,0.094,0.424,0.504,0.359,0.538,0.573,0.744,0.614,0.718
0.021,0.053,0.619,0.737,0.553,0.739,0.599,0.667,0.605,0.744
0.15,0.212,0.487,0.6,0.25,0.371,0.735,0.801,0.762,0.883
0.138,0.234,0.262,0.389,0.349,0.481,0.673,0.775,0.614,0.687
0.189,0.315,0.226,0.304,0.646,0.73,0.749,0.851,0.76,0.857
0.174,0.246,0.336,0.412,0.447,0.558,0.682,0.768,0.645,0.719
0.131,0.354,0.282,0.378,0.261,0.363,0.6,0.678,0.703,0.757
0.193,0.253,0.596,0.681,0.553,0.706,0.671,0.748,0.627,0.744
0.512,0.673,0.384,0.502,0.411,0.517,0.443,0.718,0.656,0.731
0.17,0.265,0.398,0.461,0.647,0.764,0.567,0.661,0.694,0.83
0.759,0.846,0.238,0.441,0.452,0.538,0.408,0.498,0.594,0.692
0.222,0.354,0.199,0.377,0.224,0.341,0.802,0.926,0.696,0.809
0.725,0.846,0.131,0.229,0.088,0.153,0.638,0.706,0.514,0.63
0.181,0.34,0.44,0.526,0.444,0.593,0.849,0.917,0.414,0.516
0.407,0.51,0.539,0.623,0.546,0.627,0.827,0.886,0.747,0.818
0.507,0.719,0.022,0.06,0.642,0.736,0.486,0.577,0.845,0.931
0.088,0.196,0.032,0.083,0.251,0.471,0.321,0.507,0.771,0.851
0.844,0.955,0.099,0.167,0.26,0.339,0.452,0.572,0.488,0.626
0.506,0.638,0.176,0.263,0.304,0.401,0.497,0.596,0.473,0.638
0.885,0.943,0.612,0.743,0.379,0.494,0.779,0.868,0.874,0.931
0.608,0.755,0.547,0.674,0.317,0.398,0.629,0.723,0.709,0.813
0.74,0.817,0.136,0.243,0.473,0.544,0.687,0.785,0.458,0.546
0.328,0.447,0.102,0.163,0.519,0.679,0.491,0.588,0.58,0.689
0.415,0.552,0.387,0.484,0.353,0.529,0.756,0.828,0.916,0.967
0.593,0.689,0.295,0.372,0.218,0.385,0.665,0.743,0.71,0.889
0.229,0.386,0.355,0.508,0.457,0.562,0.563,0.669,0.559,0.752
0.567,0.784,0.495,0.678,0.517,0.773,0.557,0.682,0.588,0.677
0.715,0.793,0.258,0.485,0.658,0.746,0.687,0.813,0.442,0.566
0.316,0.423,0.482,0.641,0.716,0.811,0.632,0.698,0.524,0.609
0.338,0.48,0.247,0.367,0.575,0.688,0.6,0.7,0.61,0.702
0.422,0.562,0.429,0.504,0.468,0.588,0.612,0.688,0.623,0.718
0.359,0.448,0.488,0.563,0.333,0.524,0.803,0.868,0.516,0.633
0.613,0.687,0.425,0.516,0.47,0.605,0.789,0.897,0.731,0.838
0.443,0.539,0.259,0.412,0.509,0.709,0.545,0.632,0.537,0.621
0.77,0.899,0.355,0.42,0.563,0.664,0.492,0.563,0.662,0.75
0.101,0.176,0.225,0.342,0.188,0.343,0.562,0.666,0.499,0.577
0.554,0.645,0.864,0.926,0.385,0.484,0.487,0.586,0.701,0.787
0.37,0.48,0.442,0.617,0.162,0.238,0.634,0.738,0.859,0.941
0.863,0.928,0.402,0.594,0.606,0.763,0.457,0.596,0.519,0.612
0.926,0.974,0.19,0.355,0.408,0.532,0.624,0.778,0.62,0.723
0.254,0.397,0.398,0.679,0.602,0.678,0.532,0.601,0.362,0.45
0.844,0.925,0.158,0.279,0.328,0.412,0.61,0.695,0.58,0.651
0.422,0.59,0.484,0.613,0.534,0.616,0.357,0.453,0.654,0.734
0.146,0.237,0.156,0.281,0.426,0.53,0.659,0.742,0.944,0.977
0.819,0.918,0.424,0.537,0.483,0.594,0.606,0.736,0.615,0.72
0.439,0.539,0.259,0.39,0.334,0.418,0.502,0.587,0.784,0.867
0.778,0.887,0.601,0.743,0.559,0.647,0.482,0.546,0.441,0.533
0.521,0.675,0.223,0.379,0.632,0.701,0.547,0.622,0.759,0.853
0.253,0.382,0.549,0.679,0.475,0.579,0.508,0.606,0.593,0.68
0.29,0.472,0.316,0.43,0.627,0.731,0.74,0.863,0.768,0.86
0.427,0.5,0.24,0.37,0.303,0.516,0.585,0.663,0.565,0.72
0.228,0.32,0.302,0.43,0.635,0.721,0.575,0.639,0.646,0.736
0.502,0.612,0.391,0.566,0.621,0.708,0.647,0.758,0.522,0.633
